	logFC	AveExpr	t	P.Value	adj.P.Val	B
CXCL8	3.8116949532054	6.9042018260768	8.85362309096809	1.5892343322274e-12	3.73787914939884e-08	18.1214547809785
S100A8	3.05140959749657	5.75098927363947	8.63338239631657	3.76502799636484e-12	4.42767292372505e-08	17.3060718172628
FCGR3B	3.24403146886708	5.92423610621305	8.44532336046631	7.88104902045814e-12	6.17874243203918e-08	16.607074183399
SRGN	1.71722424384895	6.83925338501926	8.09151176077463	3.17769205885442e-11	1.8684829306064e-07	15.2862795565807
HCAR3	3.56026313822337	6.19411174705763	7.98066079489254	4.92302112205075e-11	2.31578913581267e-07	14.871230791795
PLEK	1.96201114640563	6.16888186358124	7.82674462226602	9.04557527062998e-11	3.39473488641063e-07	14.2942001442327
BASP1	1.16996602682333	5.4652549803901	7.76501194416294	1.15467173007164e-10	3.39473488641063e-07	14.0625686614069
S100A9	2.42345960733133	7.59489101740403	7.69208404829725	1.54076595737268e-10	4.02653503526726e-07	13.7888164129739
BCL2A1	2.97686465986431	5.66982521678707	7.62060047361919	2.04434612281639e-10	4.80329631820918e-07	13.5203890313878
WARS	1.7322903731876	8.36173000025702	7.57940230286506	2.4062651058395e-10	4.80329631820918e-07	13.3656523723684
LOC101928916 /// NNMT	2.19819995481309	6.32234764467857	7.56703463599267	2.52693863253085e-10	4.80329631820918e-07	13.3191966571103
MMP3	4.49686640293342	7.32337603771833	7.55455091774452	2.6548831690782e-10	4.80329631820918e-07	13.2723034587316
MNDA	3.01578299343842	4.91772151464449	7.51130956121675	3.15026259491004e-10	5.29244115944886e-07	13.1098636036516
TYROBP	1.64988245637581	6.57793355472641	7.45082655063949	4.00194020377234e-10	6.27504223951504e-07	12.8826360455798
CHI3L1	2.39206170005006	5.20876592026014	7.33153113088127	6.415222269071e-10	8.6533158479629e-07	12.4344542484529
IFI30 /// PIK3R2	1.21594074895899	9.28897076853843	7.32349313133539	6.62243559793079e-10	8.6533158479629e-07	12.4042584914515
CXCL6	3.55998338463258	4.92326576206766	7.29511142293884	7.40904999917637e-10	9.17162399898043e-07	12.2976433633227
FCER1G	1.7344049074769	5.81706606968821	7.25872088653654	8.55565602787202e-10	1.00614514887775e-06	12.1609553890427
DRAM1	1.22519138269675	5.9731450840289	7.23393695348704	9.43640319777667e-10	1.05687715815099e-06	12.0678730093365
CCL3 /// CCL3L1 /// CCL3L3	2.73686376916273	6.07840506772732	7.21590757380864	1.01334823745741e-09	1.08336138840902e-06	12.0001647511028
NCF2	2.0433512233093	4.76026111102659	7.17837106464269	1.17541027757903e-09	1.20198477081125e-06	11.8592162014626
TNFAIP6	2.54201528698393	4.81509141658325	7.11105683697859	1.53353082701718e-09	1.40005407449002e-06	11.6065243192724
SELE	2.93818659416451	4.60008479058024	7.10873187169072	1.54767882384101e-09	1.40005407449002e-06	11.5977984673951
G0S2	2.43063041960261	6.57960447520199	7.05201515773909	1.93620416005437e-09	1.62641149444567e-06	11.3849789115011
SLC7A5	1.0623445311747	5.98059504261658	7.0305825872356	2.10715207159447e-09	1.70897299047938e-06	11.30458111165
LY96	2.26572837674028	5.56226825812977	7.01468478318732	2.24360733653594e-09	1.75898815184418e-06	11.244954669409
